start_station,end_station,count
Vaar Frelsers gravlund,Briskeby,12
Vaar Frelsers gravlund,Jordalgata,12
Vaar Frelsers gravlund,Riddervoldplass,12
Vaar Frelsers gravlund,Bjoelsen moelle,12
Vaar Frelsers gravlund,Bak Niels Treschows hus soer,12
Vaar Frelsers gravlund,Torshovdalen oest,12
Soendre gate,Sagene bussholdeplass,12
Soendre gate,Bjerregaards gate,12
Soendre gate,Pilestredet,12
Soendre gate,Hydroparken,12
Studenterlunden,Via Vika,12
Studenterlunden,Nybrua holdeplass,12
Studenterlunden,Hausmanns bru,12
Studenterlunden,Krebs' gate,12
Studenterlunden,Meltzers gate,12
Skovveien,St. Hanshaugen,12
Skovveien,Vippetangen oest,12
Skovveien,Botanisk Hage soer,12
Skovveien,Sofienbergparken nordvest,12
Skovveien,Mandalls gate,12
Skovveien,Georg Morgenstiernes hus,12
Skovveien,Dyvekes bru,12
Skovveien,Colletts gate,12
Skovveien,Enerhaugen,12
Pilestredet Studenthus,Stjerneplassen,12
Pilestredet Studenthus,Lille Schous plass,12
Pilestredet Studenthus,Vippetangen oest,12
Pilestredet Studenthus,Sofienbergparken soer,12
Pilestredet Studenthus,Fagerheimgata,12
Pilestredet Studenthus,Mandalls gate,12
Pilestredet Studenthus,Munkedamsveien,12
Saga Kino,Hans Nielsen Hauges plass,12
Saga Kino,St. Hanshaugen park nord,12
Saga Kino,Mandalls gate,12
Saga Kino,Lodalen busstopp,12
St. Hanshaugen park vest,Krohgstoetten hospital,12
St. Hanshaugen park vest,Monolittveien,12
St. Hanshaugen park vest,Soervest for Slottsparken,12
St. Hanshaugen park vest,Colbjoernsens gate,12
St. Hanshaugen park vest,Oslo Hospital,12
Sjoesiden ved fontenen,Hedmarksgata,12
Sjoesiden ved fontenen,Sagene bussholdeplass,12
Sjoesiden ved fontenen,Sjoelyst,12
Sjoesiden ved fontenen,Hausmanns bru,12
Sjoesiden ved fontenen,Skippergata,12
Hans Nielsen Hauges plass,Universitetsgata,12
Hans Nielsen Hauges plass,Thune,12
Hans Nielsen Hauges plass,Dokkveien,12
Hans Nielsen Hauges plass,Hoffsveien,12
Hans Nielsen Hauges plass,Skoeyen,12
Hans Nielsen Hauges plass,Arkaden Nord,12
Hans Nielsen Hauges plass,Ensjoeveien,12
Hans Nielsen Hauges plass,Lodalen busstopp,12
Bjoelsen Studentby,Krohgstoetten hospital,12
Bjoelsen Studentby,Kontraskjaeret,12
Bjoelsen Studentby,Jenny Braatens Plass,12
Bjoelsen Studentby,Vaalerenga,12
Bjoelsen Studentby,Fyrstikktorget,12
Bjoelsen Studentby,Pilestredet,12
Frogner Tennisklubb,Ruseloekkgaarden,12
Frogner Tennisklubb,Jernbanetorget,12
Frogner Tennisklubb,Vaterlandsparken,12
Frogner Tennisklubb,Marienlystparken,12
Frogner Tennisklubb,Myraloekka oest,12
Frogner Tennisklubb,Holbergs plass,12
Frogner Tennisklubb,Nordre gate,12
Frogner Tennisklubb,Marcus Thranes gate,12
Kirkeristen,Maritimt Museum,12
Kirkeristen,Loerenveien,12
Kirkeristen,Sognsveien,12
Storo Storsenter,St. Hanshaugen,12
Storo Storsenter,Briskeby,12
Storo Storsenter,Majorstuveien,12
Storo Storsenter,Fyrstikktorget,12
Storo Storsenter,Over Raadhusgata,12
Storo Storsenter,7. juni-plassen,12
Storo Storsenter,Skoeyen Stasjon,12
Ringnes Park,Ullevaalsalléen,12
Ringnes Park,Blindern studentparkering,12
Ringnes Park,Skoeyen Stasjon,12
Ringnes Park,Lodalen busstopp,12
Uelands gate,Sagene bussholdeplass,12
Uelands gate,Frogner Stadion,12
Uelands gate,Sognsveien,12
Uelands gate,Georg Morgenstiernes hus,12
Uelands gate,Drammensveien,12
OsloMet,Sagene bussholdeplass,12
OsloMet,Uranienborgparken,12
OsloMet,Lakkegata,12
OsloMet,Stensparken,12
OsloMet,Uranienborgveien,12
OsloMet,Colbjoernsens gate,12
OsloMet,Pilestredet,12
OsloMet,Kirkeveien,12
OsloMet,Drammensveien,12
Lille Schous plass,Aker Brygge 3 mot Fergene,12
Lille Schous plass,Pilestredet Studenthus,12
Lille Schous plass,OsloMet,12
Lille Schous plass,Loerenveien,12
Lille Schous plass,Hausmanns gate,12
Lille Schous plass,Stavangergata,12
Loerenveien,Vaalerenga,12
Loerenveien,Lille Grensen,12
Loerenveien,Slottsparken oest,12
Loerenveien,Mailundveien,12
Parkveien,Gunerius,12
Parkveien,Krohgstoetten hospital,12
Parkveien,Arkitekt Rivertz Plass,12
Parkveien,St. Hanshaugen,12
Oslo Handelsgymnasium,Stensgata,12
Frognerbadet,Bjoelsen Studentby,12
Frognerbadet,Fred Olsens gate,12
Frognerbadet,Daelenenggata,12
Carl Berners plass soer,Krohgstoetten hospital,12
Carl Berners plass soer,Bjoelsen Studentby,12
Carl Berners plass soer,Adamstuen,12
Carl Berners plass soer,Vippetangen vest,12
Carl Berners plass soer,Blindern Studenthus,12
Carl Berners plass soer,Holbergs plass,12
Carl Berners plass soer,Skoeyen,12
Carl Berners plass soer,Grenseveien,12
Carl Berners plass soer,Munkedamsveien,12
Carl Berners plass soer,Torshovdalen oest,12
Sagene bussholdeplass,Loerenveien,12
Sagene bussholdeplass,Kontraskjaeret,12
Sagene bussholdeplass,Sirkustomta,12
Sagene bussholdeplass,Huitfeldts gate,12
Sagene bussholdeplass,Hydroparken,12
Toeyen skole,Studenterlunden,12
Toeyen skole,St. Hanshaugen park vest,12
Toeyen skole,St. Hanshaugen,12
Toeyen skole,Ila,12
Toeyen skole,Frognerstranda,12
Toeyen skole,Henrik Ibsens gate,12
Toeyen skole,Filipstadveien,12
Toeyen skole,Tordenskiolds gate,12
Toeyen skole,Grenseveien,12
Toeyen skole,Skarpsnoparken,12
Toeyen skole,Hasle,12
John Colletts plass,Lille Schous plass,12
John Colletts plass,Frogner Stadion,12
John Colletts plass,Skillebekk,12
John Colletts plass,Blindern studentparkering,12
John Colletts plass,Helga Helgesens plass,12
John Colletts plass,Sommerfrydhagen,12
John Colletts plass,Carl Berners plass nord,12
John Colletts plass,Botanisk Hage vest,12
Landstads gate,Pilestredet Studenthus,12
Landstads gate,Oslo Handelsgymnasium,12
Landstads gate,Elisenberg,12
Landstads gate,Frognerstranda,12
Landstads gate,Marienlyst,12
Landstads gate,Mailundveien,12
Landstads gate,Koebenhavngata busstopp,12
Landstads gate,Bjoelsen moelle,12
Landstads gate,Bygdoey allé,12
Hasle Torg,OsloMet,12
Hasle Torg,St. Hanshaugen park soer,12
Hasle Torg,AHO,12
Hasle Torg,Majorstua skole,12
Hasle Torg,Torshovdalen oest,12
Jakob kirke,Hedmarksgata,12
Jakob kirke,Frogner Tennisklubb,12
Jakob kirke,Sagene bussholdeplass,12
Jakob kirke,Ila,12
Jakob kirke,Ullevaalsveien,12
Jakob kirke,Riddervoldplass,12
Jakob kirke,Sinsen T-bane,12
Majorstuen,Stortingstunellen,12
Majorstuen,Torshovparken vest,12
Majorstuen,Sofienberggata,12
Majorstuen,Koebenhavngata busstopp,12
Kontraskjaeret,Stensgata,12
Kontraskjaeret,Toeyen skole,12
Kontraskjaeret,Studentparlamentet,12
Kontraskjaeret,Myraloekka oest,12
Sinsenveien,Bentsebrugata,12
Sinsenveien,Botanisk Hage vest,12
Sinsenveien,Holbergs plass,12
Sinsenveien,Hammersborg Torg,12
Tannlegehoeyskolen,Via Vika,12
Tannlegehoeyskolen,Akerselvallmenningen,12
Tannlegehoeyskolen,John Colletts plass,12
Tannlegehoeyskolen,Schous plass,12
Tannlegehoeyskolen,Briskeby,12
Tannlegehoeyskolen,Majorstuveien,12
Tannlegehoeyskolen,Filipstadveien,12
Tannlegehoeyskolen,Sognsveien,12
Tannlegehoeyskolen,Nordre gate,12
Tannlegehoeyskolen,Meltzers gate,12
Tannlegehoeyskolen,Fred Olsens gate,12
Tannlegehoeyskolen,Drammensveien,12
Uranienborgparken,Parkveien,12
Uranienborgparken,Vaterlandsparken,12
Uranienborgparken,Ullevaalsveien,12
Uranienborgparken,Grünerhagen Nord,12
Uranienborgparken,Salt,12
Norsk Folkemuseum,Jakob kirke,12
Norsk Folkemuseum,Oscars gate,12
Norsk Folkemuseum,Arkaden Nord,12
Norsk Folkemuseum,Oslo Hospital,12
Bjoelsendumpa,Gimle Kino,12
Bjoelsendumpa,Valkyrieplassen,12
Bjoelsendumpa,Torshovparken vest,12
Bjoelsendumpa,Soervest for Slottsparken,12
Bjoelsendumpa,Langkaia,12
Bjoelsendumpa,Trelastgata,12
Bjoelsendumpa,Dronningens gate,12
Bjoelsendumpa,Riddervoldplass,12
Bjoelsendumpa,Oslo Hospital,12
Alexander Kiellands Plass,Brynseng T-bane,12
Alexander Kiellands Plass,oekernveien,12
St. Hanshaugen,Akerselvallmenningen,12
St. Hanshaugen,Universitetsgata,12
St. Hanshaugen,Aker Brygge 3 mot Fergene,12
St. Hanshaugen,Uranienborgparken,12
St. Hanshaugen,Briskeby,12
St. Hanshaugen,Trondheimsveien,12
St. Hanshaugen,Frognerveien,12
St. Hanshaugen,Stavangergata,12
Schous plass,Krohgstoetten hospital,12
Schous plass,St. Hanshaugen park vest,12
Schous plass,Hans Nielsen Hauges plass,12
Schous plass,Frogner Tennisklubb,12
Schous plass,Uelands gate,12
Schous plass,Adamstuen,12
Schous plass,Arendalsgata,12
Schous plass,Torshovparken vest,12
Schous plass,Soervest for Slottsparken,12
Schous plass,Pilestredet,12
Schous plass,Huk 1,12
Schous plass,Grenseveien,12
Birkelunden,Oslo Handelsgymnasium,12
Birkelunden,Karenslyst allé,12
Birkelunden,Taasen Senter,12
Adamstuen,Sjoesiden ved fontenen,12
Adamstuen,Uelands gate,12
Adamstuen,Carl Berners plass soer,12
Adamstuen,Uranienborgparken,12
Adamstuen,BI Nydalen,12
Adamstuen,Elisenberg,12
Adamstuen,Frognerstranda,12
Adamstuen,Ullevaalsalléen,12
Adamstuen,Blindern studentparkering,12
Adamstuen,Lilleborgbanen,12
Gimle Kino,Gunerius,12
Gimle Kino,Maritimt Museum,12
Gimle Kino,Stensgata,12
Gimle Kino,St. Hanshaugen park soer,12
Gimle Kino,Grünerhagen Nord,12
Briskeby,St. Hanshaugen park soer,12
Briskeby,Toeyenbekken,12
Briskeby,Sofienbergparken nord,12
Olav Kyrres plass,Universitetsgata,12
Olav Kyrres plass,Skovveien,12
Olav Kyrres plass,Kontraskjaeret,12
Olav Kyrres plass,St. Olavs gate,12
Olav Kyrres plass,Olaf Ryes plass,12
Thune,Universitetsgata,12
Thune,Sjoesiden ved fontenen,12
Thune,Schous plass,12
Thune,Volvat,12
Thune,Thereses gate,12
Thune,Griffenfeldts gate,12
Thune,Hoff terrasse holdeplass,12
Spikersuppa Vest,Adamstuen,12
Spikersuppa Vest,Thune,12
Spikersuppa Vest,St. Hanshaugen park nord,12
Spikersuppa Vest,Volvat,12
Spikersuppa Vest,Pilestredet,12
Spikersuppa Vest,Skoeyen,12
Spikersuppa Vest,Meltzers gate,12
Chr. Michelsens Gate,Colosseum Kino,12
Chr. Michelsens Gate,St. Hanshaugen park vest,12
Chr. Michelsens Gate,Uelands gate,12
Chr. Michelsens Gate,Lakkegata,12
Chr. Michelsens Gate,Suhms gate,12
Chr. Michelsens Gate,Edvard Storms gate,12
Chr. Michelsens Gate,Frogner plass,12
St. Hanshaugen park soer,Via Vika,12
St. Hanshaugen park soer,Soendre gate,12
St. Hanshaugen park soer,John Colletts plass,12
St. Hanshaugen park soer,Uranienborgparken,12
St. Hanshaugen park soer,Briskeby,12
St. Hanshaugen park soer,Chr. Michelsens Gate,12
St. Hanshaugen park soer,Vestkanttorvet,12
St. Hanshaugen park soer,Marienlystparken,12
St. Hanshaugen park soer,Botanisk Hage vest,12
St. Hanshaugen park soer,Jens Bjelkes Gate,12
St. Hanshaugen park soer,Sofienberggata,12
St. Hanshaugen park soer,Majorstua skole,12
St. Hanshaugen park soer,Badebakken,12
St. Hanshaugen park soer,Munkegata,12
Ila,Nybrua holdeplass,12
Ila,Sinsen T-bane,12
Ila,Oslo Hospital,12
Lindern,John Colletts plass,12
Lindern,Oslo Plaza,12
Lindern,Ruseloekkgaarden,12
Lindern,Marienlyst,12
Lindern,Volvat,12
Lindern,Jordalgata,12
Fram-gaarden,Maritimt Museum,12
Fram-gaarden,Frogner Tennisklubb,12
Fram-gaarden,Valkyrieplassen,12
Fram-gaarden,Studentparlamentet,12
Fram-gaarden,Hausmanns gate,12
Vestkanttorvet,Frogner Tennisklubb,12
Vestkanttorvet,Adamstuen,12
Vestkanttorvet,Georg Morgenstiernes hus,12
Vestkanttorvet,Munkedamsveien,12
Vestkanttorvet,Bjerregaardsgate oest,12
Vestkanttorvet,Daelenenggata,12
Sentrum Scene,Maritimt Museum,12
Sentrum Scene,Frognerbadet,12
Sentrum Scene,Frogner Stadion,12
Sentrum Scene,Biskop Gunnerus' gate,12
Sentrum Scene,Trelastgata,12
Sentrum Scene,Koebenhavngata busstopp,12
BI Nydalen,Huk 2,12
BI Nydalen,Hausmanns bru,12
BI Nydalen,Fysikkbygningen,12
BI Nydalen,Taasenloekka,12
Moelleparken,Karenslyst allé,12
Moelleparken,Blindern Studenthus,12
Moelleparken,Friggfeltet,12
Moelleparken,Kampen park oest,12
Lakkegata,Studenterlunden,12
Lakkegata,OsloMet,12
Lakkegata,Bislett Stadion,12
Vippetangen oest,Gunerius,12
Vippetangen oest,Huk 2,12
Vippetangen oest,Lille Schous plass,12
Vippetangen oest,Fredensborg,12
Vulkan,Maritimt Museum,12
Vulkan,Valkyrieplassen,12
Vulkan,Majorstuveien,12
Vulkan,Ullevaalsveien,12
Vulkan,Volvat,12
Vulkan,Grünerhagen Nord,12
Vulkan,Taasen Senter,12
Sjoesiden ved trappen,Ullevaal sykehus,12
Sjoesiden ved trappen,Friggfeltet,12
AHO,Huk 2,12
AHO,Skovveien,12
AHO,Adamstuen,12
AHO,Majorstuveien,12
AHO,Marienlystparken,12
AHO,Thomas Heftyes plass,12
AHO,Frognerveien,12
Sjoelyst,Maritimt Museum,12
Sjoelyst,Aker Brygge 3 mot Fergene,12
Sjoelyst,St. Hanshaugen park soer,12
Sjoelyst,Majorstuveien,12
Sjoelyst,Jernbanetorget,12
Sjoelyst,Sofienbergparken nord,12
Sjoelyst,Colletts gate,12
Sjoelyst,7. juni-plassen,12
Sjoelyst,Spikersuppa oest,12
Kvaernerbyen,Oscars gate,12
Kvaernerbyen,Hasle,12
Oslo Plaza,Norsk Folkemuseum,12
Oslo Plaza,Vippetangen oest,12
Oslo Plaza,Myraloekka oest,12
Ruseloekkgaarden,Blindern T-Bane,12
Ruseloekkgaarden,Frognerbadet,12
Ruseloekkgaarden,Toeyen skole,12
Ruseloekkgaarden,St. Hanshaugen park soer,12
Ruseloekkgaarden,Valkyrieplassen,12
Ruseloekkgaarden,Botanisk Hage soer,12
Ruseloekkgaarden,Bjerregaards gate,12
Ruseloekkgaarden,Trelastgata,12
Ruseloekkgaarden,Annette Thommessens Plass,12
Ruseloekkgaarden,Meltzers gate,12
Elisenberg,Stjerneplassen,12
Elisenberg,Maritimt Museum,12
Elisenberg,Blindern T-Bane,12
Elisenberg,St. Hanshaugen park vest,12
Elisenberg,Marienlyst,12
Elisenberg,Blindern studentparkering,12
Elisenberg,Kjeld Stubs gate,12
Elisenberg,Monolittveien,12
Elisenberg,Grünerhagen Nord,12
Suhms gate,Bentsebrugata,12
Suhms gate,Storo Storsenter,12
Suhms gate,John Colletts plass,12
Suhms gate,Olav Kyrres plass,12
Suhms gate,Jenny Braatens Plass,12
Suhms gate,Vaterlandsparken,12
Suhms gate,Soervest for Slottsparken,12
Suhms gate,Thereses gate,12
Suhms gate,Sofienbergparken nord,12
Suhms gate,Salt,12
Suhms gate,Skoeyen Stasjon,12
Suhms gate,Hallénparken,12
Vippetangen vest,Thune,12
Vippetangen vest,Hydroparken,12
Frogner Stadion,Bentsebrugata,12
Frogner Stadion,St. Hanshaugen park vest,12
Frogner Stadion,St. Hanshaugen,12
Frogner Stadion,Munkegata,12
Sofienbergparken soer,Arendalsgata,12
Sofienbergparken soer,Fysikkbygningen,12
Sofienbergparken soer,Langkaia,12
Sofienbergparken soer,Frogner plass,12
Sofienbergparken soer,Salt,12
Frognerstranda,Adamstuen,12
Frognerstranda,Ensjoe T-bane,12
Frognerstranda,Soervest for Slottsparken,12
Trondheimsveien,Stortingstunellen,12
Trondheimsveien,Filipstadveien,12
Trondheimsveien,Langkaia,12
Trondheimsveien,oekernveien,12
Trondheimsveien,Bankplassen,12
Trondheimsveien,Enerhaugen,12
Jenny Braatens Plass,Blindern Studenthus,12
Jenny Braatens Plass,Kjeld Stubs gate,12
Jenny Braatens Plass,Friggfeltet,12
Jenny Braatens Plass,Ensjoeveien,12
Valkyrieplassen,Borgenveien,12
Valkyrieplassen,Akerselvallmenningen,12
Valkyrieplassen,Vippetangen vest,12
Valkyrieplassen,Jernbanetorget,12
Valkyrieplassen,Krebs' gate,12
Valkyrieplassen,Myraloekka oest,12
Valkyrieplassen,Grünerhagen Nord,12
Valkyrieplassen,Skraaninga,12
Valkyrieplassen,Sognsveien,12
Valkyrieplassen,Huk 1,12
Valkyrieplassen,Idioten,12
Valkyrieplassen,Daelenenggata,12
Valkyrieplassen,Munkegata,12
Botanisk Hage soer,Frognerstranda,12
Botanisk Hage soer,Krebs' gate,12
Botanisk Hage soer,Bogstadveien,12
Vaalerenga,Pilestredet Studenthus,12
Vaalerenga,Bislett Stadion,12
Vaalerenga,Schous plass trikkestopp,12
Vaalerenga,Tjuvholmen,12
Vaalerenga,Hausmanns gate,12
Vaalerenga,Finnmarksgata,12
Vaalerenga,St. Olavs gate,12
Vaalerenga,Slottsparken oest,12
Stensparken,Groenlands torg,12
Stensparken,Carl Berners plass soer,12
Stensparken,Sinsenveien,12
Stensparken,Torshovparken vest,12
Stensparken,Monolittveien,12
Stensparken,Oslo Hospital,12
Schous plass trikkestopp,Skovveien,12
Sukkerbiten,Sagene bussholdeplass,12
Sukkerbiten,St. Hanshaugen,12
Sukkerbiten,Torshovparken vest,12
Sukkerbiten,Marienlystparken,12
Sukkerbiten,Meltzers gate,12
Sukkerbiten,Kampen park oest,12
Bjoervika,Mailundveien,12
Bjoervika,Colletts gate,12
Ullevaalsalléen,Bentsebrugata,12
Ullevaalsalléen,Frognerbadet,12
Ullevaalsalléen,Sagene bussholdeplass,12
Ullevaalsalléen,Schous plass,12
Ullevaalsalléen,BI Nydalen,12
Ullevaalsalléen,Stavangergata,12
Ullevaalsalléen,Bankplassen,12
Ullevaalsalléen,Skoeyen Stasjon,12
Skillebekk,Stjerneplassen,12
Skillebekk,Fagerheimgata,12
Skillebekk,Jens Bjelkes Gate,12
Skillebekk,Colletts gate,12
Studentparlamentet,Soendre gate,12
Studentparlamentet,Bjoelsen Studentby,12
Studentparlamentet,St. Hanshaugen,12
Studentparlamentet,Frognerstranda,12
Studentparlamentet,St. Hanshaugen park nord,12
Studentparlamentet,Sofienberggata,12
Studentparlamentet,Jordalgata,12
Studentparlamentet,Schives gate,12
Studentparlamentet,Salt,12
St. Hanshaugen park nord,Hesselbergs Gate,12
St. Hanshaugen park nord,Rostockgata,12
St. Hanshaugen park nord,Skovveien,12
St. Hanshaugen park nord,Landstads gate,12
St. Hanshaugen park nord,Sentrum Scene,12
St. Hanshaugen park nord,Jenny Braatens Plass,12
St. Hanshaugen park nord,Blindern Studenthus,12
St. Hanshaugen park nord,Kjeld Stubs gate,12
St. Hanshaugen park nord,Henrik Wergelands allé,12
Marienlyst,Oslo Handelsgymnasium,12
Marienlyst,Vulkan,12
Marienlyst,Hoffsveien,12
Marienlyst,Stavangergata,12
Marienlyst,Nordre gate,12
Marienlyst,Badebakken,12
Marienlyst,Hallénparken,12
Arendalsgata,Akerselvallmenningen,12
Arendalsgata,Briskeby,12
Arendalsgata,Frogner Stadion,12
Arendalsgata,Carl Berners plass nord,12
Arendalsgata,Botanisk Hage vest,12
Arendalsgata,Mandalls gate,12
Arendalsgata,Botanisk hage soer-vest,12
Arendalsgata,Arkaden Nord,12
Arendalsgata,Hydroparken,12
Majorstuveien,Pilestredet Studenthus,12
Majorstuveien,OsloMet,12
Majorstuveien,Birkelunden,12
Majorstuveien,Arkaden Nord,12
Majorstuveien,Stavangergata,12
Blindern studentparkering,Hesselbergs Gate,12
Blindern studentparkering,Colosseum Kino,12
Blindern studentparkering,Landstads gate,12
Blindern studentparkering,Botanisk Hage vest,12
Blindern studentparkering,Colbjoernsens gate,12
Blindern studentparkering,Schives gate,12
Blindern studentparkering,Oslo Hospital,12
Hausmanns bru,Aker Brygge 2 mot Raadhusplassen,12
Hausmanns bru,Vippetangen vest,12
Hausmanns bru,Raadhusgata,12
Hausmanns bru,Munkedamsveien,12
Edvard Storms gate,Sofienbergparken soer,12
Edvard Storms gate,Studentparlamentet,12
Edvard Storms gate,Carl Berners plass nord,12
Edvard Storms gate,Botanisk hage soer-vest,12
Edvard Storms gate,Riddervoldplass,12
Jernbanetorget,Vaalerenga,12
Tjuvholmen,Elgsletta,12
Tjuvholmen,Bentsebrugata,12
Tjuvholmen,St. Hanshaugen park vest,12
Tjuvholmen,Daelenenggata,12
Helga Helgesens plass,Colosseum Kino,12
Helga Helgesens plass,Arkitekt Rivertz Plass,12
Helga Helgesens plass,St. Hanshaugen park vest,12
Helga Helgesens plass,Arendalsgata,12
Helga Helgesens plass,Frognerveien,12
Raadhusgata,Landstads gate,12
Raadhusgata,Soervest for Slottsparken,12
Raadhusgata,Hallings gate,12
Raadhusgata,Drammensveien,12
Raadhusgata,Lodalen busstopp,12
Nydalen,Hesselbergs Gate,12
Nydalen,Lakkegata,12
Hausmanns gate,Stortingstunellen,12
Hausmanns gate,Aker Brygge 3 mot Fergene,12
Hausmanns gate,Ila,12
Hausmanns gate,Frogner Stadion,12
Hausmanns gate,Kjeld Stubs gate,12
Karenslyst allé,Tannlegehoeyskolen,12
Karenslyst allé,Adamstuen,12
Karenslyst allé,Fagerheimgata,12
Karenslyst allé,Toeyenbekken,12
Karenslyst allé,Pilestredet 63,12
Sommerfrydhagen,Hedmarksgata,12
Sommerfrydhagen,Hans Nielsen Hauges plass,12
Sommerfrydhagen,Parkveien,12
Sommerfrydhagen,Olav Kyrres plass,12
Sommerfrydhagen,Karenslyst allé,12
Sommerfrydhagen,Hallings gate,12
Sommerfrydhagen,Georg Morgenstiernes hus,12
Blindern Studenthus,Via Vika,12
Blindern Studenthus,Storo Storsenter,12
Blindern Studenthus,Frogner Stadion,12
Blindern Studenthus,Finnmarksgata,12
Blindern Studenthus,Monolittveien,12
Blindern Studenthus,Bak Niels Treschows hus soer,12
Carl Berners plass nord,Aker Brygge 2 mot Raadhusplassen,12
Carl Berners plass nord,Parkveien,12
Carl Berners plass nord,Ullevaalsalléen,12
Carl Berners plass nord,Blindern Studenthus,12
Carl Berners plass nord,Krebs' gate,12
Carl Berners plass nord,Fyrstikktorget,12
Carl Berners plass nord,Over Raadhusgata,12
Torshovparken vest,Huk 2,12
Torshovparken vest,Studenterlunden,12
Torshovparken vest,Hasle Torg,12
Torshovparken vest,Frognerstranda,12
Torshovparken vest,Langkaia,12
Torshovparken vest,Skippergata,12
Torshovparken vest,Dronningens gate,12
Torggata,Marienlyst,12
Brugata,Parkveien,12
Brugata,Norsk Folkemuseum,12
Brugata,Dokkveien,12
Sofienbergparken nordvest,Krohgstoetten hospital,12
Sofienbergparken nordvest,Uranienborgparken,12
Sofienbergparken nordvest,Vestkanttorvet,12
Sofienbergparken nordvest,Majorstuveien,12
Sofienbergparken nordvest,Blindern Studenthus,12
Sofienbergparken nordvest,Marienlystparken,12
Sofienbergparken nordvest,Friggfeltet,12
Sofienbergparken nordvest,Torshovdalen oest,12
Vaterlandsparken,Klingenberggata,12
Vaterlandsparken,Loerenveien,12
Vaterlandsparken,Norsk Folkemuseum,12
Vaterlandsparken,Gimle Kino,12
Vaterlandsparken,Stensparken,12
Vaterlandsparken,Ullevaalsveien,12
Vaterlandsparken,Filipstadveien,12
Vaterlandsparken,Skraaninga,12
Vaterlandsparken,7. juni-plassen,12
Fysikkbygningen,Professor Aschehougs plass,12
Fysikkbygningen,Universitetsgata,12
Fysikkbygningen,Skovveien,12
Fysikkbygningen,St. Hanshaugen park vest,12
Fysikkbygningen,Frognerbadet,12
Fysikkbygningen,Sommerfrydhagen,12
Fysikkbygningen,Uranienborgveien,12
Fysikkbygningen,Huitfeldts gate,12
Fysikkbygningen,Bak Niels Treschows hus nord,12
Sirkustomta,Tiedemannsparken,12
Sirkustomta,Fred Olsens gate,12
HasleLinje,Spikersuppa Vest,12
HasleLinje,Moelleparken,12
HasleLinje,Sjoesiden ved trappen,12
HasleLinje,Bjoervika,12
HasleLinje,Sofienberggata,12
HasleLinje,Grünerhagen Nord,12
HasleLinje,Botanisk hage soer-vest,12
Bjerregaards gate,Hasle Torg,12
Bjerregaards gate,Olav Kyrres plass,12
Bjerregaards gate,Huk 1,12
Anker Hotel,Hoffsveien,12
Anker Hotel,Huitfeldts gate,12
Krebs' gate,Kontraskjaeret,12
Krebs' gate,Ullevaalsveien,12
Krebs' gate,Uranienborgveien,12
Krebs' gate,Kirkeveien,12
Ullevaal sykehus,Hedmarksgata,12
Ullevaal sykehus,Nybrua holdeplass,12
Ullevaal sykehus,Huk 2,12
Ullevaal sykehus,Aker Brygge 2 mot Raadhusplassen,12
Ullevaal sykehus,John Colletts plass,12
Ullevaal sykehus,Stockfleths gate,12
Fagerheimgata,Marienlystparken,12
Fagerheimgata,Volvat,12
Fagerheimgata,Colbjoernsens gate,12
Fagerheimgata,Huk 1,12
Marienlystparken,Hesselbergs Gate,12
Marienlystparken,Studenterlunden,12
Marienlystparken,St. Hanshaugen park vest,12
Marienlystparken,Vaterlandsparken,12
Marienlystparken,Volvat,12
Marienlystparken,Koebenhavngata busstopp,12
Marienlystparken,Kampen park oest,12
Botanisk Hage vest,Stortingstunellen,12
Botanisk Hage vest,St. Hanshaugen park soer,12
Botanisk Hage vest,Kvaernerbyen,12
Botanisk Hage vest,Tjuvholmen,12
Botanisk Hage vest,Fysikkbygningen,12
Botanisk Hage vest,Langkaia,12
Botanisk Hage vest,Dronningens gate,12
Botanisk Hage vest,Salt,12
Botanisk Hage vest,Bjerregaardsgate oest,12
Jens Bjelkes Gate,Frognerbadet,12
Jens Bjelkes Gate,Pilestredet,12
Jens Bjelkes Gate,Mailundveien,12
Jens Bjelkes Gate,Huk 1,12
Jens Bjelkes Gate,Sotahjoernet,12
Jens Bjelkes Gate,Ensjoeveien,12
Jens Bjelkes Gate,Bak Niels Treschows hus nord,12
Majorstuen T-bane,Saga Kino,12
Majorstuen T-bane,Frognerstranda,12
Majorstuen T-bane,Valkyrieplassen,12
Majorstuen T-bane,Blindern Studenthus,12
Majorstuen T-bane,Lilleborgbanen,12
Kjeld Stubs gate,Maritimt Museum,12
Kjeld Stubs gate,Frognerstranda,12
Kjeld Stubs gate,Holbergs plass,12
Kjeld Stubs gate,Uranienborgveien,12
Kjeld Stubs gate,Akersgata,12
Kjeld Stubs gate,Tordenskiolds gate,12
Kjeld Stubs gate,Huk 1,12
Kjeld Stubs gate,Bjerregaardsgate oest,12
Henrik Ibsens gate,Carl Berners plass soer,12
Henrik Ibsens gate,Botanisk Hage vest,12
Henrik Ibsens gate,Colbjoernsens gate,12
Ensjoe T-bane,Stjerneplassen,12
Ensjoe T-bane,Chr. Michelsens Gate,12
Ensjoe T-bane,Fred Olsens gate,12
Ensjoe T-bane,Kirkegata 15,12
Boekkerveien,Groenlands torg,12
Boekkerveien,Kirkeristen,12
Boekkerveien,Galgeberg,12
Boekkerveien,Kampen park oest,12
Sofienberggata,Aker Brygge 3 mot Fergene,12
Sofienberggata,Elisenberg,12
