start_station,end_station,count
Majorstuen,Henrik Wergelands allé,452
Helga Helgesens plass,Aker Brygge,451
Bogstadveien,Majorstuen,451
Aker Brygge,Bjoervika,450
Botanisk Hage soer,Torggata,450
Ringnes Park,Aker Brygge,448
Linaaes gate,Jess Carlsens gate,448
Munkegata,Munkegata,448
Groenlands torg,Groenlands torg,447
Saga Kino,Saga Kino,446
Henrik Ibsens gate,Parkveien,446
Kirkeveien,Majorstuen,445
Galgeberg,Sjoesiden ved trappen,445
AHO,Sentrum Scene,443
Galgeberg,Kvaernerbyen,443
Ringnes Park,Ringnes Park,442
Tjuvholmen,Kirkeristen,441
Slottsparken oest,Slottsparken oest,441
Alexander Kiellands Plass,Toeyenbekken,439
Fredensborg,Alexander Kiellands Plass,439
Vaar Frelsers gravlund,Aker Brygge,438
Schous plass,The Hub,438
Olaf Ryes plass,Toeyenbekken,438
Bentsebrugata,Ringnes Park,437
Gimle Kino,Filipstadveien,437
Olaf Ryes plass,Linaaes gate,437
Helga Helgesens plass,Olaf Ryes plass,436
Lille Schous plass,Sofienbergparken nord,435
Jakob kirke,Botanisk Hage soer,435
Anker Hotel,Anker Hotel,434
Parkveien,Henrik Ibsens gate,433
Salt,Sjoesiden ved trappen,433
Kvaernerbyen,Rostockgata,432
Helga Helgesens plass,Brugata,432
Sofienbergparken nord,Aker Brygge,432
Groenlands torg,Helga Helgesens plass,431
Vippetangen vest,Saga Kino,431
Jens Bjelkes Gate,Sommerfrydhagen,431
Langkaia,Aker Brygge,431
Linaaes gate,Aker Brygge,431
Daelenenggata,Ringnes Park,430
Birkelunden,Birkelunden,429
Thomas Heftyes plass,Tjuvholmen,429
Helga Helgesens plass,Gunerius,428
Groenlands torg,Oslo Hospital,427
Birkelunden,The Hub,427
Vippetangen vest,Skippergata,424
Jens Bjelkes Gate,Bjoervika,423
Oslo Hospital,Oslo Hospital,422
Lindern,Marcus Thranes gate,421
Hammersborg Torg,Alexander Kiellands Plass,421
Filipstadveien,Filipstadveien,420
Sukkerbiten,Lille Grensen,419
Marcus Thranes gate,Marcus Thranes gate,419
Vaar Frelsers gravlund,Akersgata,418
Sofienbergparken nord,Kirkeristen,418
AHO,Kirkeristen,417
Hoff terrasse holdeplass,Skoeyen Stasjon,416
Rostockgata,Oslo Hospital,414
Olaf Ryes plass,Botanisk Hage soer,414
Munkegata,Aker Brygge,414
Toeyen skole,Olaf Ryes plass,413
Sofienbergparken nordvest,Torggata,412
Jens Bjelkes Gate,Toeyenbekken,411
Vaar Frelsers gravlund,Sjoesiden ved trappen,410
AHO,Aker Brygge,410
Torggata,Alexander Kiellands Plass,410
Jens Bjelkes Gate,Hausmanns bru,410
Gimle Kino,7. juni-plassen,409
Botanisk Hage soer,Nordre gate,409
Henrik Ibsens gate,Uranienborgveien,409
Spikersuppa oest,Spikersuppa oest,409
Drammensveien,Skoeyen,409
Fagerheimgata,Fagerheimgata,408
Olaf Ryes plass,Sukkerbiten,408
Oslo Hospital,Sjoesiden ved fontenen,408
Karenslyst allé,Filipstadveien,407
Torggata,Sofienbergparken nord,407
Olaf Ryes plass,Toeyen skole,406
Landstads gate,Hammersborg Torg,405
Sjoesiden ved trappen,Dyvekes bru,405
Saga Kino,Frognerstranda,404
Kvaernerbyen,Paléhaven,404
Sukkerbiten,Fred Olsens gate,404
Torggata,Kirkeristen,404
Birkelunden,Kirkeristen,403
Gimle Kino,Saga Kino,403
Skillebekk,Skillebekk,403
Oslo Hospital,Groenlands torg,403
Kirkeristen,Torggata,402
Schous plass,Helga Helgesens plass,402
Stensparken,Bogstadveien,402
Bankplassen,Kirkeristen,402
Bentsebrugata,Torggata,401
Vulkan,Aker Brygge,401
Torggata,Ringnes Park,401
Toeyen skole,Carl Berners plass soer,400
Norsk Folkemuseum,Filipstadveien,400
Bislett Stadion,Vaar Frelsers gravlund,400
Munkegata,Sjoesiden ved trappen,400
The Hub,The Hub,399
Jens Bjelkes Gate,Helga Helgesens plass,399
Frogner plass,Frogner Stadion,399
Lakkegata,Toeyenbekken,398
Majorstua skole,Skoeyen,398
Frogner plass,Skoeyen,398
Aker Brygge,Olaf Ryes plass,397
Sofienberggata,Kirkeristen,397
Hoffsveien,Karenslyst allé,397
Skoeyen,Skoeyen,397
Storo Storsenter,Krebs' gate,396
Sofienbergparken nordvest,Bankplassen,396
Jens Bjelkes Gate,Aker Brygge,396
Huitfeldts gate,Huitfeldts gate,395
Vippetangen vest,Fred Olsens gate,394
Sotahjoernet,Ensjoe T-bane,394
Alexander Kiellands Plass,Aker Brygge,393
Alexander Kiellands Plass,Jess Carlsens gate,393
Jess Carlsens gate,Toeyenbekken,393
OsloMet,Saga Kino,392
Helga Helgesens plass,Sjoesiden ved trappen,392
Olaf Ryes plass,Sjoesiden ved trappen,392
7. juni-plassen,OsloMet,392
Alexander Kiellands Plass,Birkelunden,391
Botanisk Hage soer,Kirkeristen,391
Schous plass trikkestopp,The Hub,391
Helga Helgesens plass,Lakkegata,391
Schous plass,Schous plass,390
Torggata,Aker Brygge,390
Galgeberg,Bjoervika,390
Alexander Kiellands Plass,AHO,388
Sukkerbiten,Sentrum Scene,388
Frogner plass,Tjuvholmen,388
Fred Olsens gate,Sukkerbiten,388
Oslo Hospital,Paléhaven,388
Soendre gate,Torggata,387
Sjoesiden ved trappen,Dokkveien,387
Torggata,The Hub,387
Aker Brygge,Hammersborg Torg,386
Kirkeristen,Soendre gate,386
Toeyen skole,Torggata,386
Birkelunden,Jernbanetorget,386
Edvard Storms gate,Edvard Storms gate,386
Jens Bjelkes Gate,Brugata,386
Thomas Heftyes plass,Karenslyst allé,386
Storo Storsenter,Storo Storsenter,385
Helga Helgesens plass,Hausmanns gate,385
Jess Carlsens gate,Linaaes gate,385
Marcus Thranes gate,Torggata,385
Bislettgata,Ringnes Park,385
Skillebekk,Filipstadveien,384
Fredensborg,Aker Brygge,384
Rostockgata,Sukkerbiten,383
BI Nydalen,BI Nydalen,383
Paléhaven,Paléhaven,383
Marcus Thranes gate,Bislett Stadion,382
Hammersborg Torg,Vippetangen vest,382
Akerselvallmenningen,Lakkegata,381
Bentsebrugata,Birkelunden,380
Alexander Kiellands Plass,Sjoesiden ved trappen,380
Sommerfrydhagen,Sommerfrydhagen,380
Sofienbergparken nordvest,Kirkeristen,380
AHO,Jess Carlsens gate,379
Jernbanetorget,Bankplassen,379
Slottsparken oest,Aker Brygge,379
Birkelunden,Toeyen skole,378
Oslo Plaza,Sofienbergparken soer,378
Kvaernerbyen,Kvaernerbyen,377
Karenslyst allé,Skoeyen,377
Sofienbergparken soer,Helga Helgesens plass,376
Frognerstranda,Saga Kino,376
Ringnes Park,Kirkeristen,375
Gimle Kino,Karenslyst allé,375
Helga Helgesens plass,Jens Bjelkes Gate,375
Marcus Thranes gate,Schous plass,375
Marcus Thranes gate,Birkelunden,375
Kirkegata 15,Huitfeldts gate,375
Stjerneplassen,Olaf Ryes plass,374
Botanisk Hage soer,Sofienbergparken nordvest,374
Helga Helgesens plass,Sommerfrydhagen,374
Jens Bjelkes Gate,Jernbanetorget,374
Majorstuen,Stensparken,373
Botanisk Hage soer,Toeyenbekken,373
Helga Helgesens plass,Spikersuppa oest,373
Kirkeristen,Sukkerbiten,372
Storo Storsenter,Bjoelsen Studentby,372
Thomas Heftyes plass,Thomas Heftyes plass,372
Bjerregaards gate,Ringnes Park,371
Bislettgata,Bislettgata,371
The Hub,Jess Carlsens gate,370
Helga Helgesens plass,Sukkerbiten,370
Sukkerbiten,Akerselvallmenningen,369
Raadhusgata,Raadhusgata,369
Holbergs plass,Aker Brygge,369
Lakkegata,Brugata,368
Hammersborg Torg,Bankplassen,368
Storo Storsenter,Hans Nielsen Hauges plass,367
AHO,AHO,367
Vippetangen vest,Paléhaven,365
Frognerstranda,Karenslyst allé,365
Carl Berners plass nord,Toeyen skole,365
Fagerheimgata,Vaterlandsparken,365
Alexander Kiellands Plass,Jernbanetorget,364
Oslo Hospital,Munkegata,364
Kirkeristen,Schous plass,363
Kvaernerbyen,Gunerius,363
Frogner plass,Majorstuen,362
Schous plass,Toeyenbekken,361
Vippetangen vest,Vippetangen vest,361
Ringnes Park,Bjerregaards gate,360
Majorstuen,Majorstuen,360
Schous plass,Aker Brygge,360
Vaar Frelsers gravlund,Jess Carlsens gate,359
AHO,Jernbanetorget,359
AHO,Bankplassen,359
Frogner plass,Norsk Folkemuseum,359
AHO,Toeyenbekken,358
Botanisk Hage soer,Schous plass trikkestopp,358
Sommerfrydhagen,Vaterlandsparken,358
Vaterlandsparken,Vaterlandsparken,358
Bankplassen,Bankplassen,358
BI Nydalen,Ringnes Park,357
Tjuvholmen,Frogner plass,357
Tjuvholmen,Munkedamsveien,357
Helga Helgesens plass,Moelleparken,357
Munkedamsveien,Tjuvholmen,357
Ringnes Park,Bislett Stadion,356
Norsk Folkemuseum,Huk 1,356
Birkelunden,Schous plass,356
Kvaernerbyen,Helga Helgesens plass,356
Helga Helgesens plass,Oslo Plaza,356
St. Olavs gate,Alexander Kiellands Plass,356
Aker Brygge,Linaaes gate,355
Toeyen skole,Sofienberggata,355
Alexander Kiellands Plass,Bislett Stadion,355
Landstads gate,Torggata,353
Tjuvholmen,Skoeyen,353
Filipstadveien,Karenslyst allé,353
Storo Storsenter,Bjoelsendumpa,352
Bislett Stadion,Marcus Thranes gate,352
